q	gloss	clean	qtmplt	atmplt	ptag	ntag	count
is it like being entertained?	similar(e,entertained)	is it like being entertained	is {e:it} like {emotion:being entertained}	{e:it} is like being entertained	NULL	NULL	1
does it always include laughing?	necessarily(behavior(e,laughing))	does it always include laughing	does {e:it} {modal:always} include {behavior:laughing}	{e:it} always includes laughing	NULL	NULL	1
Uhmm is it a positive emotion?	e.valence==positive	uhmm is it a positive emotion	{hesitation:uhmm} is {e:it} a positive emotion	{e:it} is a positive emotion	NULL	NULL	1
is it very intense?	e.activation==high	is it very intense	is {e:it} very intense	{e:it} is very intense	NULL	NULL	2
is it something you feel when you are doing something that is not very exciting?	situation(e,doingSomethingNotVeryExciting)	is it something you feel when you are doing something that is not very exciting	is {e:it} something {experiencer:you} feel when {situation:{experiencer:you} are doing something that is not very exciting}	{e:it} is something you feel when you are doing something that is not very exciting	NULL	NULL	1
is neutral?	e.valence==neutral	is it neutral	is {e:it} neutral		NULL	NULL	1
do you feel it when you're in a competition?	situation(e,inCompetition)	do you feel it when you are in a competition	do {experiencer:you} feel {e:it} when {situation:{experiencer:you} are in a competition}	you feel {e:it} when you are in a competition	NULL	NULL	1
do you feel it after something bad has happened?	situation(e,afterSomethingBadHappens)	do you feel it after something bad has happened	do {experiencer:you} feel {e:it} after {situation:something bad has happened}	you feel {e:it} after something bad has happened	NULL	NULL	1
do you feel it before something big is happening?	situation(e,beforeSomethingBigHappens)	do you feel it before something big is happening	do {experiencer:you} feel {e:it} before {situation:something big is happening}	you feel {e:it} before something big is happening	NULL	NULL	1
can you feel it towards yourself?	possibly(directed(e,self))	can you feel it towards yourself	can {experiencer:you} feel {e:it} towards {beneficiary:yourself}	you can feel {e:it} towards yourself	NULL	NULL	1
is it like being apprehensive?	similar(e,apprehension)	is it like being apprehensive	is {e:it} like {emotion:being apprehensive}	{e:it} is like being apprehensive	NULL	NULL	1
is it more intense than anxious?	e.activation>anxiety.activation	is it more intense than anxious	is {e:it} more intense than {emotion:anxious}	{e:it} is more intense than anxious	NULL	NULL	1
is it more intense than overwhelmed?	e.activation>overwhelmed.activation	is it more intense than overwhelmed	is {e:it} more intense than {emotion:overwhelmed}	{e:it} is more intense than overwhelmed	NULL	NULL	1
is it like defeated?	similar(e,defeated)	is it like defeated	is {e:it} like {emotion:defeated}	{e:it} is like defeated	NULL	NULL	1
is it more like sad or more like mad?	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
is like shame?	similar(e,shame)	is it like shame	is {e:it} like {emotion:shame}	{e:it} is like shame	NULL	NULL	1
is it like furious?	similar(e,fury)	is it like furious	is {e:it} like {emotion:furious}	{e:it} is like furious	NULL	NULL	1
is it like revenge?	similar(e,revenge)	is it like revenge	is {e:it} like {emotion:revenge}	{e:it} is like revenge	NULL	NULL	1
is it violent?	e==violent	is it violent	is {e:it} violent	{e:it} is violent	NULL	NULL	1
is it like vicious?	similar(e,vicious)	is it like vicious	is {e:it} like {emotion:vicious}	{e:it} is like vicious	NULL	NULL	1
is it a bigger version of furious?	e.activation>fury.activation	is it a bigger version of furious	is {e:it} a bigger version of {emotion:furious}	{e:it} is a bigger version of furious	NULL	NULL	1
is it different by including another emotion?	e-fury==anotherEmotion	NULL	NULL	NULL	NULL	NULL	1
is it ferocious?	e==ferocious	is it ferocious	is {e:it} {emotion:ferocious}	NULL	NULL	NULL	1
hmmm\nyea, I give up	non-yes-no,giveUp	NULL	NULL	NULL	NULL	NULL	1
all right, is it a positive emotion?	e.valence==positive	all right is it a positive emotion	{interjection:all right} is {e:it} a positive emotion	NULL	NULL	NULL	1
is it neutral?	e.valence==neutral	is it neutral	is {e:it} neutral	NULL	NULL	NULL	5
is it associated with sadness	associated(e,sadness)	is it associated with sadness	is {e:it} associated with {emotion:sadness}	{e:it} is associated with sadness	NULL	NULL	1
can it be associated with anger?	associated(e,anger)	can it be associated with anger	can {e:it} be associated with {emotion:anger}	{e:it} can be associated with anger	NULL	NULL	1
ok, does it happen when you've failed at something?	situation(e,failAtSomething)	ok does it happen when you have failed at something	{interjection:ok} does {e:it} happen when {situation:{experiencer:you} have failed at something}	{e:it} happens when you have failed at something	NULL	NULL	1
does it happen when you blame yourself	situation(e,blameYourself)	does it happen when you blame yourself	does {e:it} happen when {situation:{experiencer:you} blame {beneficiary:yourself}}	{e:it} happens when you blame yourself	NULL	NULL	1
ok, can it associated with embarrasment?	associated(e,embarrassment)	ok can it be associated with embarrasment	{interjection:ok} can {e:it} be associated with {emotion:embarrasment}	{e:it} can be associated with embarrasment	NULL	NULL	1
ok is it a positive emotion?	e.valence==positive	ok is it a positive emotion	{interjection:ok} is {e:it} a positive emotion	NULL	NULL	NULL	6
do you feel like this when you have done something right?	situation(e,youHaveDoneSomethingRight)	do you feel like this when you have done something right	do {experiencer:you} feel {e:like this} when {situation:{experiencer:you} have done something right}	you feel {e:like this} when you have done something right	NULL	NULL	1
is it a pretty intense emotion?	e.activation==high	is it a pretty intense emotion	is {e:it} a pretty intense emotion	{e:it} is a pretty intense emotion	NULL	NULL	1
is it closely assimilated with being calm?	associated(e,calm)	is it closely associated with being calm	is {e:it} {modal:closely} associated with {emotion:being calm}	{e:it} is closely associated with being calm	NULL	NULL	1
is this an emotion you feel whe you are doing something you like to do?	situation(e,doingSomethingYouLike)	is this an emotion you feel when you are doing something you like to do	is {e:this} an emotion {experiencer:you} feel when {situation:{experiencer:you} are doing something {experiencer:you} like to do}	{e:this} is an emotion you feel when you are doing something you like to do	NULL	NULL	1
is it pleasure?	e==pleasure	is it pleasure	is {e:it} {emotion:pleasure}	NULL	NULL	NULL	1
do you feel the two simultaneously?	cooccur(e,pleasure)	NULL	NULL	NULL	NULL	NULL	1
is it the opposite of sadness?	opposite(e,sadness)	is it the opposite of sadness	is {e:it} the opposite of {emotion:sadness}	{e:it} is the opposite of sadness	NULL	NULL	1
happiness\nis it ?	e==happiness	is it happiness\n	is {e:it} {emotion:happiness}	NULL	NULL	NULL	1
is it similar to being satisfied?	similar(e,satisfaction)	is it similar to being satisfied	is {e:it} similar to {emotion:being satisfied}	{e:it} is similar to being satisfied	NULL	NULL	1
is it similar to being entertained?	similar(e,entertainment)	is it similar to being entertained	is {e:it} similar to {emotion:being entertained}	{e:it} is similar to being entertained	NULL	NULL	1
would this be an emotion you would feel when readying a book?\nreading	situation(e,readingABook)	would this be an emotion you would feel when reading a book	would {e:this} be an emotion {experiencer:you} would feel when {situation:reading a book}	{e:this} would be an emotion you would feel when reading a book	NULL	NULL	1
determined?	e==determination	determined	{emotion:determined}	NULL	NULL	NULL	1
if someone is scared of doing something but they are determined to do it would they feel this way?	situation(e,scaredButDeterminedToDoSomething)	if someone is scared of doing something but they are determined to do it would they feel this way	if {situation:{experiencer:someone} is scared of doing something but {experiencer:they} are determined to do it} would {experiencer:they} feel {e:this way}	if someone is scared of doing something but they are determined to do it they would feel {e:this way}	NULL	NULL	1
when you are doing something and feel like you are doing a good job would you feel like this?	situation(e,feelingThatYouAreDoingAGoodJobAtSomething)	when you are doing something and feel like you are doing a good job would you feel like this	when {situation:{experiencer:you} are doing something and feel like {experiencer:you} are doing a good job} would {experiencer:you} feel like {e:this}	when you are doing something and feel like you are doing a good job you would feel {e:like this}	NULL	NULL	1
is this an emotion you feel when you have a positive outlook for something you are doing?>	situation(e,positiveOutlookForSomethingYouAreDoing)	is this an emotion you feel when you have a positive outlook for something you are doing	is {e:this} an emotion {experiencer:you} feel when {situation:{experiencer:you} have a positive outlook for something {experiencer:you} are doing}	{e:this} is an emotion you feel when you have a positive outlook for something you are doing	NULL	NULL	1
is it similar to hope?	similar(e,hope)	is it similar to hope	is {e:it} similar to {emotion:hope}	{e:it} is similar to hope	NULL	NULL	1
is it closer to being delighted?	similar(e,delight)	NULL	NULL	NULL	NULL	NULL	1
optimistic?	e==optimism	optimistic	{emotion:optimistic}	NULL	NULL	NULL	1
cheerful?	e==cheerful	cheerful	{emotion:cheerful}	NULL	NULL	NULL	2
Hahah I think I give up\nyea	giveUp,non-yes-no	NULL	NULL	NULL	NULL	NULL	1
is it associated with anger?	associated(e,anger)	is it associated with anger	is {e:it} associated with {emotion:anger}	{e:it} is associated with anger	NULL	NULL	1
is it associated with sadness?	associated(e,sadness)	is it associated with sadness	is {e:it} associated with {emotion:sadness}	{e:it} is associated with sadness	NULL	NULL	2
can you feel it when you fail at something?	situation(e,failAtSomething)	can you feel it when you fail at something	can {experiencer:you} feel {e:it} when {situation:{experiencer:you} fail at something}	you can feel {e:it} when you fail at something	NULL	NULL	1
can you feel it when you get a terrible surprise?	situation(e,terribleSurprise)	can you feel it when you get a terrible surprise	can {experiencer:you} feel {e:it} when {situation:{experiencer:you} get a terrible surprise}	you can feel {e:it} when you get a terrible surprise	NULL	NULL	1
if you feel it after you've failed, do you feel it when you know you're failing and dreading to see the end result that proves you've failed?	situation(e,dreadingImmanentFailure)	if you feel it after you have failed do you feel it when you know you are failing and dreading to see the end result that proves you have failed	{ref:if {experiencer:you} feel {e:it} after {situation:{experiencer:you} have failed}} do {experiencer:you} feel {e:it} when {situation:{experiencer:you} know {experiencer:you} are failing and dreading to see the end result that proves {experiencer:you} have failed}	if you feel {e:it} after you have failed you feel {e:it} when you know you are failing and dreading to see the end result that proves you have failed	NULL	NULL	1
is it dissappointment?	e==disappointment	is it disappointment	is {e:it} {emotion:disappointment}	NULL	NULL	NULL	1
ok, so more often, it's after some thing bad?	situation(e,afterSomethingBad)	ok so more often it is after some thing bad	{interjection:ok} {interjection:so} {modal:more often} {e:it} is after {situation:some thing bad}	more often {e:it} is after some thing bad	NULL	NULL	1
can blame be associated with it?	associated(e,blame)	can blame be associated with it	can {emotion:blame} be associated with {e:it}	{e:it} can be associated with blame	NULL	NULL	1
is it like guilty?	similar(e,guilt)	is it like guilty	is {e:it} like {emotion:guilty}	{e:it} is like guilty	NULL	NULL	1
is it an extreme emotion?	e.activation==high	is it an extreme emotion	is {e:it} an extreme emotion	{e:it} is an extreme emotion	NULL	NULL	1
If someone has a much nicer car than you but you know he did not work to get it but his parents gave it to him do you feel like this?	situation(e,enviousOfCarAndRichParents)	if someone has a much nicer car than you but you know he did not work to get it but his parents gave it to him do you feel like this	if {situation:someone has a much nicer car than {experiencer:you} but {experiencer:you} know he did not work to get it but his parents gave it to him} do {experiencer:you} feel {emotion:like this}	if someone has a much nicer car than you but you know he did not work to get it but his parents gave it to him do you feel like this	NULL	NULL	1
can you feel this emotion when someone is doing something that bothers you	situation(e,someoneDoesSomethingToBotherYou)	can you feel this emotion when someone is doing something that bothers you	can {experiencer:you} feel {e:this emotion} when {situation:someone is doing something that bothers {experiencer:you}}	can you feel this emotion when someone is doing something that bothers you	NULL	NULL	1
do you feel like this when someone does something you did not expect them too\nto\n?	situation(e,someoneDoesSomethingUnexpected)	do you feel like this when someone does something to you that you did not expect them to	do {experiencer:you} feel {e:like this} when {situation:someone does something to {experiencer:you} that {experiencer:you} did not expect them to}	you feel {e:like this} when someone does something to you that you did not expect them to	NULL	NULL	1
disappointment \n?	e==disappointment	disappointment	{emotion:disappointment}	NULL	NULL	NULL	1
is it similar from pain?	similar(e,pain)	is it similar to pain	is {e:it} similar to {emotion:pain}	NULL	NULL	NULL	1
is it sometimes described as "being lost"	describedAs(e,beingLost)	is it sometimes described as being lost	is {e:it} sometimes described as being lost	{e:it} is sometimes described as being lost	NULL	NULL	1
is it closely assimilated with dismay?	associated(e,dismay)	is it closely associated with dismay	is {e:it} closely associated with {emotion:dismay}	{e:it} is closely associated with dismay	NULL	NULL	1
is it appalled \n?	e==appalled	is it appalled	is {e:it} {emotion:appalled}	NULL	NULL	NULL	1
does it happen when someone is lonely ?	situation(e,someoneIsLonely)	does it happen when someone is lonely	does {e:it} happen when {situation:{experiencer:someone} is lonely}	{e:it} happens when someone is lonely	NULL	NULL	1
cool, is it a negative emotion?	e.valence==negative	cool is it a negative emotion	{interjection:cool} is {e:it} a negative emotion	{e:it} is a negative emotion	NULL	NULL	1
so it's more on the positive side thna the negative side?	e.valence==positive	so is it more on the positive side than the negative side	so is {e:it} more on the positive side than the negative side	{e:it} is more on the positive side than the negative side	NULL	NULL	1
is it like being content?	similar(e,contentment)	is it like being content	is {e:it} like {emotion:being content}	{e:it} it is like being content	NULL	NULL	2
can it happen when something goes your way and you're pleased?	situation(e,pleasedWhenSomethingGoesYourWay)	can it happen when something goes your way and you are pleased	can {e:it} happen when {situation:something goes {experiencer:your} way and {experiencer:you} are {emotion:pleased}}	{e:it} can happen when something goes your way and you are pleased	NULL	NULL	1
is it relieved or relaxed?	e==relief||e==relaxed	is it relieved or relaxed	is {e:it} {emotion:relieved} or {emotion:relaxed}	NULL	NULL	NULL	1
ok is it negative?	e.valence==negative	ok is it negative	{interjection:ok} is {e:it} negative	{e:it} is negative	NULL	NULL	1
is it intense	e.activation==high	is it intense	is {e:it} intense	{e:it} is intense	NULL	NULL	3
then usually not intense?	usually(e.valence!=high))	then usually not intense	{interjection:then} {modal:usually} not intense	NULL	NULL	NULL	1
is it kinda like anger?	similar(e,anger)	is it kind of like anger	is {e:it} {modal:kind of} like {emotion:anger}	{e:it} is kind of like anger	NULL	NULL	3
can it be mixed with sadness?	mixable(e,sadness)	can it be mixed with sadness	can {e:it} be mixed with {emotion:sadness}	{e:it} can be mixed with sadness	NULL	NULL	1
would you say anger is more associated with it than sadness?	similarity(e,anger)>similarity(e,sadness)	would you say anger is more associated with it than sadness	would you say {emotion:anger} is more associated with {e:it} than {emotion:sadness}	you would say anger is more associated with {e:it} than sadness	NULL	NULL	1
does it happen when youve failed?	situation(e,youveFailed)	does it happen when you have failed	does it happen when you have failed	{e:it} happens when you have failed	NULL	NULL	1
is it kinda like fear?	similar(e,fear)	is it kind of like fear	is {e:it} {modal:kind of} like {emotion:fear}	is it kind of like fear	NULL	NULL	1
is it associated with embarrassment?	associated(e,embarrassment)	is it associated with embarrassment	is {e:it} associated with {emotion:embarrassment}	{e:it} is associated with embarrassment	NULL	NULL	1
does it happen after nasty surprise?	situation(e,afterNastySurprise)	does it happen after a nasty surprise	does {e:it} happen after {situation:a nasty surprise}	{e:it} happens after a nasty surprise	NULL	NULL	1
if it there were a nasty surprise, would the emotion be mild?	if(nastySurprise)then(e.activation==low)	if there were a nasty surprise would the emotion be mild	if {situation:there were a nasty surprise} would {e:the emotion} be mild	if there were a nasty surprise {e:the emotion} would be mild	NULL	NULL	1
would it intense in that situation?	if(nastySurprise)then(e.activation==high)	NULL	NULL	NULL	NULL	NULL	1
then how about the nasty surprise is a friend betrays you, would it be mild then?	if(friendBetraysYou)then(e.activation==low)	NULL	NULL	NULL	NULL	NULL	1
then how about something trivial, like...finding out vegetables you were going to use had gone bad?	situation(e,findingThatVegatablesHadGoneBad)	then how about something trivial like finding out vegetables you were going to use had gone bad	{interjection:then} how about {situation:something trivial like finding out vegetables {experiencer:you} were going to use had gone bad}		NULL	NULL	1
is it kinda like regret?	similar(e,regret)	is it kind of like regret	is {e:it} kind of like {emotion:regret}	{e:it} is kind of like regret	NULL	NULL	1
felt during betrayal?	situation(e,betrayal)	is it felt during betrayal	is {e:it} felt during {situation:betrayal}	{e:it} is felt during betrayal	NULL	NULL	1
it like a kind of pain?	subset(e,pain)	is it like a kind of pain	is {e:it} like a kind of {emotion:pain}	{e:it} is a kind of pain	NULL	NULL	1
would you say the emotion has a lot of energy?	e.activation==high	would you say the emotion has a lot of energy	would you say {e:the emotion} has a lot of energy	{e:the emotion} has a lot of energy	NULL	NULL	1
oh right, you said there's a wide range, right?	e.activation==variable	NULL	NULL	NULL	NULL	NULL	1
so, if you were stranded in the middle of the desert, and pretty much doomed bc your friend ditched you there, would you feel this emotion	situation(e,ditchedByFriendInDesert)	so if you were stranded in the middle of the desert and pretty much doomed because your friend ditched you there would you feel this emotion	{interjection:so} if {situation:{experiencer:you} were stranded in the middle of the desert and pretty much doomed because {experiencer:your} friend ditched {experiencer:you} there} would {experiencer:you} feel {e:this emotion}	if you were stranded in the middle of the desert and pretty much doomed because your friend ditched you there you would feel {e:this emotion}	NULL	NULL	1
haha, jealousy?	e==jealousy	haha jealousy	{interjection:haha} {emotion:jealousy}	NULL	NULL	NULL	1
ok is it a positive emotion'?	e.valence==positive	ok is it a positive emotion	{interjection:ok} is {e:it} a positive emotion	NULL	NULL	NULL	3
is it mildly negative?	e.valence==mildlyNegative	is it mildly negative	is {e:it} mildly negative	{e:it} is mildly negative	NULL	NULL	1
is it associated with being embarassed?\nembarrassed	associated(e.embarrassment)	is it associated with being embarrassed	is {e:it} associated with {emotion:being embarrassed}	{e:it} is associated with being embarrassed	NULL	NULL	1
do you feel like this when you are going to perform in front of a very big audience?	situation(e,goingToPerformInFrontOfAudience)	do you feel like this when you are going to perform in front of a very big audience	do {experiencer:you} feel {e:like this} when {situation:{experiencer:you} are going to perform in front of a very big audience}	you feel {e:like this} when you are going to perform in front of a very big audience	NULL	NULL	1
can it be associated with worrying?	associated(e,worrying)	can it be associated with worrying	can {e:it} be associated with {emotion:worrying}	{e:it} can be associated with worrying	NULL	NULL	1
can it be associated with anxiety?	associated(e,anxiety)	can it be associated with anxiety	can {e:it} be associated with {emotion:anxiety}	{e:it} can be associated with anxiety	NULL	NULL	1
is it the opposite of being calm	opposite(e,calm)	is it the opposite of being calm	is {e:it} the opposite of {emotion:being calm}	{e:it} is the opposite of being calm 	NULL	NULL	1
is it worrying?	e==worry	is it worrying	is {e:it} {emotion:worrying}	NULL	NULL	NULL	1
but its not anxiety?	e==anxiety	NULL	NULL	NULL	NULL	NULL	1
distress?	e==distress	distress	{emotion:distress}	NULL	NULL	NULL	1
ok is it positive?	e.valence==positive	ok is it positive	{interjection:ok} is {e:it} positive	NULL	NULL	NULL	7
does it vary in intensity?	e.activation==variable	does it vary in intensity	does {e:it} vary in intensity	{e:it} varies in intensity	NULL	NULL	1
is it more likely to have anger than sadness?	similarity(e,anger)>similarity(e,sadness)	NULL	NULL	NULL	NULL	NULL	1
but it's not exactly anger right?	e==anger	NULL	NULL	NULL	NULL	NULL	1
do you feel under high pressure?	situation(e,feelUnderHighPressure)	do you feel under high pressure	do {experiencer:you} feel under high pressure	NULL	NULL	NULL	1
how about when betrayed?	situation(e,betrayal)	how about when betrayed	how about when {situation:betrayed}	NULL	NULL	NULL	1
maybe vengeful?	e==vengeful	maybe vengeful	maybe {emotion:vengeful}	NULL	NULL	NULL	1
is "determination" associated? or not at all?	associated(e,determination)	NULL	NULL	NULL	NULL	NULL	1
are there other situations when you'd feel this emotions besides betrayal?	exist(s)(situation(e,s)&&s!=betrayal)	NULL	NULL	NULL	NULL	NULL	1
then maybe when you're fighting for your life?	situation(e,fightingForYourLife)	then maybe when you are fighting for your life	{interjection:then} maybe when {situation:{experiencer:you} are fighting for {experiencer:your} life}	NULL	NULL	NULL	1
how about kinda like panic?	similar(e,panic)	how about kind of like panic	how about {modal:kind of} like {emotion:panic}	{e:it} is kind of like panic	NULL	NULL	1
how about pain?	similar(e,pain)	how about pain	how about {emotion:pain}		NULL	NULL	1
can you feel it if you have physical pain?	situation(e,physicalPain)	can you feel it if you have physical pain	can {experiencer:you} feel {e:it} if {situation:{experiencer:you} have {emotion:physical pain}}	you can feel {e:it} if you have physical pain	NULL	NULL	1
what if it's accidental pain?	situation(e,accidentalPain)	what if it is accidental pain	what about if {situation:{ref:it} is accidental pain}	you can feel {e:it} if it is accidental pain	NULL	NULL	1
would you feel it more it you did something stupid and caused the pain on yourself?	situation(e,doSomethingStupidAndCausePainOnYourself)	would you feel it more if you did something stupid and caused the pain on yourself	would {experiencer:you} feel {e:it} {ref:more} if {situation:{experiencer:you} did something stupid and {cause:caused} {ref:the} pain on {beneficiary:yourself}}	you would feel {e:it} if you did something stupid and caused pain on yourself	NULL	NULL	1
is it kinda like shame?	similar(e,shame)	is it kind of like shame	is {e:it} {modal:kind of} like {emotion:shame}	{e:it} is kind of like shame	NULL	NULL	1
or like blame?	similar(e,blame)	NULL	NULL	NULL	NULL	NULL	1
is it linked to annoyance?	associated(e,annoyance)	is it linked to annoyance	is {e:it} linked to {emotin:annoyance}	{e:it} is linked with annoyance	NULL	NULL	1
is it associated with fear?	associated(e,fear)	is it associated with fear	is {e:it} associated with {emotion:fear}	{e:it} is associated with fear	NULL	NULL	1
you are lost in the woods do you feel this emotion?	situation(e,lostInTheWoods)	you are lost in the woods do you feel this emotion	{situation:{experiencer:you} are lost in the woods} do {experiencer:you} feel {e:this emotion}	you feel {e:this emotion} when you are lost in the woods	NULL	NULL	1
you are talking to someone you like do you feel this emotion?	situation(e,talkingToSomeoneYouLike)	you are talking to someone you like do you feel this emotion	{sutuation:{experiencer:you} are talking to someone {experiencer:you} like} do {experiencer:you} feel {e:this emotion}	you feel {e:this emotion} when you are talking to someone you like	NULL	NULL	1
you are talking to someone very boring do you feel this emotion?	situation(e,talkingToSomeoneVeryBoring)	you are talking to someone very boring do you feel this emotion	{situation:{experiencer:you} are talking to someone very boring} do {experiencer:you} feel {e:this emotion}	you feel {e:this emotion} when you are talking to someone very boring	NULL	NULL	1
do you feel like this when you arent very confident?	situation(e,youArentConfident)	do you feel like this when you are not very confident	do {experiencer:you} feel {e:like this} when {situation:{experiencer:you} are not very confident}	you feel {e:like this} when you are not very confident	NULL	NULL	1
is it closely associated with being insecure?	associated(e,insecurity)	is it closely associated with being insecure	is {e:it} {modal:closely} associated with {emotion:being insecure}	{e:it} is closely associated with being insecure	NULL	NULL	1
so you get this emotion and then insecurity	precedes(e,insecurity)	so do you get this emotion and then insecurity	{interjection:so} do {experiencer:you} get {e:this emotion} and then {emotion:insecurity}	you get {e:this emotion} and then insecurity	NULL	NULL	1
someone leaves you out of their plans do you feel like this?	situation(e,someoneLeavesYouOutOfTheirPlans)	someone leaves you out of their plans do you feel like this	{situation:someone leaves {experiencer:you} out of their plans} do {experiencer:you} feel {e:like this}	if someone leaves you out of their plans you feel {e:like this}	NULL	NULL	1
all right, is it positive?	e.valence==positive	all right is it positive	{interjection:all right} is {e:it} positive	NULL	NULL	NULL	1
is it pretty intense?	e.activation==high	is it pretty intense	is {e:it} pretty intense	{e:it} is pretty intense	NULL	NULL	1
does it happen after soemthing awesome happens?	situation(e,afterSomethingAwesomeHappens)	does it happen after something awesome happens	does {e:it} happen after {situation:something awesome happens}	{e:it} happens after something awesome happens	NULL	NULL	1
does it happen while youre working toards a big accomplishment?\n*towards	situation(e,workingTowardABigAccomplishment)	does it happen while you are working towards a big accomplishment	does {e:it} happen while {situation:{experiencer:you} are working towards a big accomplishment}	{e:it} happens while you are working towards a big accomplishment	NULL	NULL	1
is it associated with pride?	associated(e,pride)	is it associated with pride	is {e:it} associated with {emotion:pride}	{e:it} is associated with pride	NULL	NULL	1
is in an intense emotion';?	e.activation==high	is it an intense emotion	is {e:it} an intense emotion	{e:it} is an intense emotion	NULL	NULL	1
when someone tells you a big lie and then you find out do you feel like this?	situation(e,someoneTellsYouALieAndYouFindOut)	when someone tells you a big lie and then you find out do you feel like this	when {situation:someone tells {experiencer:you} a big lie and then {experiencer:you} find out} do {experiencer:you} feel {e:like this}	when someone tells you a big lie and then you find out you feel {e:like this}	NULL	NULL	1
Ok is it associated with anger at all?	associated(e,anger)	ok is it associated with anger at all	{interjection:ok} is {e:it} associated with {emotion:anger} {modal:at all}	{e:it} is associated with anger	NULL	NULL	1
is this emotion always related to another persons influence?	associated(e,otherPerson)	is this emotion always related to another person's influence	is {e:this emotion} {modal:always} related to another person's influence	{e:this emotion} is always related to another person's influence	NULL	NULL	1
do you feel this emotion if you let someone you love down?	situation(e,youLetSomeoneYouLoveDown)	do you feel this emotion if you let someone you love down	do {experiencer:you} feel {e:this emotion} if {situation:{experiencer:you} let someone {experiencer:you} love down}	you feel {e:this emotion} if you let someone you love down	NULL	NULL	1
is it associated to shame?	associated(e,shame)	is it associated with shame	is {e:it} associated with {emotion:shame}	{e:it} is associated with shame	NULL	NULL	1
is it associated with being tired ?	associated(e,beingTired)	is it associated with being tired	is {e:it} associated with {emotion:being tired}	{e:it} is associated with being tired	NULL	NULL	1
do you show a lot of physical signs when you have the emotion?	hasExternalExpression(e)	do you show a lot of physical signs when you have the emotion	do {experiencer:you} show {behavior:a lot of physical signs} when {experiencer:you} have {e:the emotion}	you show a lot of physical signs when you have {e:the emotion}	NULL	NULL	1
do you laugh?	behavior(e,laughing)	do you laugh	do {experiencer:you} {behavior:laugh}	you laugh	NULL	NULL	1
do you smile?	behavior(e,smiling)	do you smile	do {experiencer:you} {behavior:smile}	you smile	NULL	NULL	1
is it intense?	e.activation==high	is it intense	is {e:it} intense		NULL	NULL	10
ok, would it be the most intense after completing a phd program?	if(situation(completeAPhdProgram))then(e.activation==high)	NULL	NULL	NULL	NULL	NULL	1
is it like hopeful?	similar(e,hopeful)	is it like hopeful	is {e:it} like {emotion:hopeful}	{e:it} is like hopeful	NULL	NULL	1
is it like confidence?	similar(e,confidence)	is it like confidence	is {e:it} like {emotion:confidence}	{e:it} is like confidence	NULL	NULL	1
is like being in love?	similar(e,love)	is it like being in love	is {e:it} like {emotion:being in love}	{e:it} is like being in love	NULL	NULL	1
do you feel it toward another person	directed(e,otherPerson)	do you feel it toward another person	do {experiencer:you} feel {e:it} toward {beneficiary:another person}	you feel {e:it} toward another person	NULL	NULL	1
so if you are at disney would you feel this emotion?	situation(e,atDisney)	so if you are at disney would you feel this emotion	{interjection:so} if {situation:{experiencer:you} are at disney} would {experiencer:you} feel {e:this emotion}	if you are at disney you would feel {e:this emotion}	NULL	NULL	1
is it associated with excitement ??	associated(e,excitement)	is it associated with excitement	is {e:it} associated with {emotion:excitement}	{e:it} is associated with excitement	NULL	NULL	1
there is a big project coming up for  you and you feel positively about it would you feel this emotion?	situation(e,bigProjectComingUpAndYouFeelPositivelyAboutIt)	there is a big project coming up for you and you feel positively about it would you feel this emotion	{situation:there is a big project coming up for {experiencer:you} and {experiencer:you} feel positively about it} would {experiencer:you} feel {e:this emotion}	you would feel {e:this emotion} if there is a big project coming up for you and you feel positively about it	NULL	NULL	1
is it calm?	e==calm	is it calm	is {e:it} {emotion:calm}	NULL	NULL	NULL	1
is it like exhilaration?	similar(e,exhilaration)	is it like exhilaration	is {e:it} like {emotion:exhilaration}	{e:it} is like exhilaration	NULL	NULL	1
is it different from exhilaration becuase of intensity? like too much happiness?	e.activation!=exhilaration.activation	NULL	NULL	NULL	NULL	NULL	1
oh i thought you said positive\nis it like fury then?	similar(e,fury)	NULL	NULL	NULL	NULL	NULL	1
can some sadness be mixed in?	mixable(e,sadness)	can some sadness be mixed in	can some {emotion:sadness} be mixed in	some sadness can be mixed in	NULL	NULL	1
is it more sadness than anger?	e.sadness>e.anger	is it more like sadness than anger	is {e:it} more like {emotion:sadness} than {emotion:anger}	{e:it} is more like sadness than anger	NULL	NULL	1
is it like depression?	similar(e,depression)	is it like depression	is {e:it} like {emotion:depression}	{e:it} is like depression	NULL	NULL	1
is despair too similar?	similar(e,despair)	NULL	NULL	NULL	NULL	NULL	1
stronger thanoverwhelmed?	e.activation>overwhelmed.activation	is it stronger than overwhelmed	is {e:it} stronger than {emotion:overwhelmed}	{e:it} is stronger than overwhelmed	NULL	NULL	1
like doomed?\nor giving up?	e==doomed	like doomed or giving up	like {emotion:doomed} or {emotion:giving up}	NULL	NULL	NULL	1
incompetent or worthless?	e==incompetent||e==worthless	incompetent or worthless	{emotion:incompetent} or {emotion:worthless}	NULL	NULL	NULL	1
would be blaming yourself?\n*would you be	situation(e,blameYourself)	would you be blaming yourself	would {situation:{experiencer:you} be blaming {experiencer:yourself}}	NULL	NULL	NULL	1
would you be more likely blaming somebody else?\nor doesnt really matter?	situation(e,blamingSomeoneElse)	NULL	NULL	NULL	NULL	NULL	1
